date	dilma	fatima	william
2016-08-30T19:56:00	8	24	17
2016-08-30T20:04:00	8	19	13
2016-08-30T20:12:00	9	19	13
2016-08-30T20:20:00	8	19	14
2016-08-30T20:28:00	9	24	17
2016-08-30T20:36:00	10	26	20
2016-08-30T20:44:00	14	23	17
2016-08-30T20:52:00	11	26	20
2016-08-30T21:00:00	10	28	22
2016-08-30T21:08:00	8	24	21
2016-08-30T21:16:00	7	32	29
2016-08-30T21:24:00	7	40	40
2016-08-30T21:32:00	6	20	17
