id,value
Cristiane_Brasil_(PTB_-_RJ).sim.ausente,1
Dagoberto_(PDT_-_MS).não.sim,1
Damião_Feliciano_(PDT_-_PB).não.sim,1
Dâmina_Pereira_(PSL_-_MG).sim.não,1
Daniel_Almeida_(PCdoB_-_BA).não.sim,1
Daniel_Coelho_(PSDB_-_PE).sim.sim,1
Daniel_Vilela_(PMDB_-_GO).sim.sim,1
Danilo_Cabral_(PSB_-_PE).sim.sim,1
Danilo_Forte_(PSB_-_CE).sim.sim,1
Danrlei_De_Deus_Hinterholz_(PSD_-_RS).sim.sim,1
Darcísio_Perondi_(PMDB_-_RS).sim.sim,1
Davidson_Magalhães_(PCdoB_-_BA).não.não_está_em_exercício,1
Décio_Lima_(PT_-_SC).não.sim,1
Delegado_Éder_Mauro_(PSD_-_PA).sim.sim,1
Delegado_Edson_Moreira_(PR_-_MG).sim.abstenção,1
Delegado_Waldir_(PR_-_GO).sim.sim,1
Deley_(PTB_-_RJ).sim.sim,1
Diego_Andrade_(PSD_-_MG).sim.sim,1
Diego_Garcia_(PHS_-_PR).sim.sim,1
Dilceu_Sperafico_(PP_-_PR).sim.sim,1
Dimas_Fabiano_(PP_-_MG).sim.sim,1
Domingos_Neto_(PSD_-_CE).não.sim,1
Domingos_Sávio_(PSDB_-_MG).sim.sim,1
Dr._João_(PR_-_RJ).sim.sim,1
Dr._Jorge_Silva_(PHS_-_ES).sim.sim,1
Dr._Sinval_Malheiros_(PTN_-_SP).sim.ausente,1
Duarte_Nogueira_(PSDB_-_SP).sim.sim,1
Dulce_Miranda_(PMDB_-_TO).sim.sim,1
Edinho_Araújo_(PMDB_-_SP).sim.sim,1
Edio_Lopes_(PR_-_RR).não.ausente,1
Edmilson_Rodrigues_(PSOL_-_PA).não.sim,1
Eduardo_Barbosa_(PSDB_-_MG).sim.sim,1
Eduardo_Bolsonaro_(PSC_-_SP).sim.sim,1
Eduardo_Cunha_(PMDB_-_RJ).sim.-,1
Eduardo_Cury_(PSDB_-_SP).sim.sim,1
Eduardo_Da_Fonte_(PP_-_PE).sim.sim,1
Efraim_Filho_(DEM_-_PB).sim.sim,1
Elcione_Barbalho_(PMDB_-_PA).não.sim,1
Eli_Corrêa_Filho_(DEM_-_SP).sim.sim,1
Elizeu_Dionizio_(PSDB_-_MS).sim.sim,1
Eliziane_Gama_(PPS_-_MA).sim.sim,1
Elmar_Nascimento_(DEM_-_BA).sim.sim,1
Enio_Verri_(PT_-_PR).não.sim,1
Erika_Kokay_(PT_-_DF).não.sim,1
Erivelton_Santana_(PEN_-_BA).sim.sim,1
Eros_Biondini_(PROS_-_MG).sim.sim,1
Esperidião_Amin_(PP_-_SC).sim.sim,1
Evair_De_Melo_(PV_-_ES).sim.sim,1
Evandro_Gussi_(PV_-_SP).sim.sim,1
Evandro_Roman_(PSD_-_PR).sim.sim,1
Expedito_Netto_(PSD_-_RO).sim.sim,1
Ezequiel_Teixeira_(PTN_-_RJ).sim.sim,1
Fábio_Faria_(PSD_-_RN).sim.sim,1
Fabio_Garcia_(PSB_-_MT).sim.sim,1
Fábio_Mitidieri_(PSD_-_SE).não.sim,1
Fábio_Ramalho_(PMDB_-_MG).sim.sim,1
Fabio_Reis_(PMDB_-_SE).sim.ausente,1
Fábio_Sousa_(PSDB_-_GO).sim.sim,1
Fausto_Pinato_(PP_-_SP).sim.sim,1
Felipe_Bornier_(PROS_-_RJ).sim.ausente,1
Felipe_Maia_(DEM_-_RN).sim.sim,1
Félix_Mendonça_Júnior_(PDT_-_BA).não.sim,1
Fernando_Coelho_Filho_(PSB_-_PE).sim.não_está_em_exercício,1
Fernando_Francischini_(SD_-_PR).sim.ausente,1
Fernando_Jordão_(PMDB_-_RJ).sim.ausente,1
Fernando_Torres_(PSD_-_BA).não.sim,1
Flávia_Morais_(PDT_-_GO).sim.sim,1
Flaviano_Melo_(PMDB_-_AC).sim.sim,1
Flavinho_(PSB_-_SP).sim.sim,1
Floriano_Pesaro_(PSDB_-_SP).sim.ausente,1
Francisco_Chapadinha_(PTN_-_PA).sim.sim,1
Francisco_Floriano_(DEM_-_RJ).sim.sim,1
Franklin_Lima_(PP_-_MG).sim.sim,1
Gabriel_Guimarães_(PT_-_MG).não.sim,1
Genecias_Noronha_(SD_-_CE).sim.sim,1
George_Hilton_(PROS_-_MG).não.sim,1
Geovania_De_Sá_(PSDB_-_SC).sim.sim,1
Geraldo_Resende_(PSDB_-_MS).sim.sim,1
Giacobo_(PR_-_PR).sim.sim,1
Gilberto_Nascimento_(PSC_-_SP).sim.ausente,1
Giovani_Cherini_(PDT_-_RS).sim.sim,1
Giuseppe_Vecci_(PSDB_-_GO).sim.sim,1
Givaldo_Carimbão_(PHS_-_AL).não.sim,1
Givaldo_Vieira_(PT_-_ES).não.sim,1
Glauber_Braga_(PSOL_-_RJ).não.sim,1
Gonzaga_Patriota_(PSB_-_PE).sim.sim,1
Gorete_Pereira_(PR_-_CE).abstenção.ausente,1
Goulart_(PSD_-_SP).sim.sim,1
Guilherme_Mussi_(PP_-_SP).sim.ausente,1
Heitor_Schuch_(PSB_-_RS).sim.sim,1
Helder_Salomão_(PT_-_ES).não.sim,1
Hélio_Leite_(DEM_-_PA).sim.sim,1
Henrique_Fontana_(PT_-_RS).não.sim,1
Heráclito_Fortes_(PSB_-_PI).sim.sim,1
Herculano_Passos_(PSD_-_SP).sim.sim,1
Hermes_Parcianello_(PMDB_-_PR).sim.sim,1
Heuler_Cruvinel_(PSD_-_GO).sim.não_está_em_exercício,1
Hildo_Rocha_(PMDB_-_MA).sim.sim,1
Hiran_Gonçalves_(PP_-_RR).sim.ausente,1
