id	value
Evair De Melo (PV - ES).sim.sim	1
Evandro Gussi (PV - SP).sim.sim	1
Evandro Roman (PSD - PR).sim.sim	1
Expedito Netto (PSD - RO).sim.sim	1
Fábio Faria (PSD - RN).sim.sim	1
Fabio Garcia (PSB - MT).sim.sim	1
Fábio Mitidieri (PSD - SE).não.sim	1
Fábio Ramalho (PMDB - MG).sim.sim	1
Fábio Sousa (PSDB - GO).sim.sim	1
Fausto Pinato (PP - SP).sim.sim	1
Felipe Maia (DEM - RN).sim.sim	1
Félix Mendonça Júnior (PDT - BA).não.sim	1
Fernando Torres (PSD - BA).não.sim	1
Flávia Morais (PDT - GO).sim.sim	1
Flaviano Melo (PMDB - AC).sim.sim	1
Flavinho (PSB - SP).sim.sim	1
Francisco Floriano (DEM - RJ).sim.sim	1
Franklin Lima (PP - MG).sim.sim	1
Gabriel Guimarães (PT - MG).não.sim	1
Genecias Noronha (SD - CE).sim.sim	1
George Hilton (PROS - MG).não.sim	1
Geovania De Sá (PSDB - SC).sim.sim	1
Geraldo Resende (PSDB - MS).sim.sim	1
Giacobo (PR - PR).sim.sim	1
Giuseppe Vecci (PSDB - GO).sim.sim	1
Givaldo Vieira (PT - ES).não.sim	1
Gonzaga Patriota (PSB - PE).sim.sim	1
Goulart (PSD - SP).sim.sim	1
Heitor Schuch (PSB - RS).sim.sim	1
Helder Salomão (PT - ES).não.sim	1
Hélio Leite (DEM - PA).sim.sim	1
Henrique Fontana (PT - RS).não.sim	1
Heráclito Fortes (PSB - PI).sim.sim	1
Herculano Passos (PSD - SP).sim.sim	1
Hermes Parcianello (PMDB - PR).sim.sim	1
Hildo Rocha (PMDB - MA).sim.sim	1
Hissa Abrahão (PDT - AM).sim.sim	1
Indio Da Costa (PSD - RJ).sim.sim	1
Irajá Abreu (PSD - TO).não.sim	1
Izalci (PSDB - DF).sim.sim	1
Jaime Martins (PSD - MG).sim.sim	1
Jandira Feghali (PCdoB - RJ).não.sim	1
Jarbas Vasconcelos (PMDB - PE).sim.sim	1
Jefferson Campos (PSD - SP).sim.sim	1
Jéssica Sales (PMDB - AC).sim.sim	1
Jhonatan De Jesus (PRB - RR).sim.sim	1
Jô Moraes (PCdoB - MG).não.sim	1
João Arruda (PMDB - PR).sim.sim	1
João Castelo (PSDB - MA).sim.sim	1
João Daniel (PT - SE).não.sim	1
João Derly (REDE - RS).sim.sim	1
João Gualberto (PSDB - BA).sim.sim	1
João Marcelo Souza (PMDB - MA).não.sim	1
Jorge Côrte Real (PTB - PE).sim.sim	1
Jorge Solla (PT - BA).não.sim	1
Jorge Tadeu Mudalen (DEM - SP).sim.sim	1
José Airton Cirilo (PT - CE).não.sim	1
José Fogaça (PMDB - RS).sim.sim	1
José Guimarães (PT - CE).não.sim	1
José Mentor (PT - SP).não.sim	1
José Priante (PMDB - PA).sim.sim	1
Josi Nunes (PMDB - TO).sim.sim	1
Kaio Maniçoba (PMDB - PE).sim.sim	1
Laercio Oliveira (SD - SE).sim.sim	1
Laudivio Carvalho (SD - MG).sim.sim	1
Leandre (PV - PR).sim.sim	1
Lelo Coimbra (PMDB - ES).sim.sim	1
Leo De Brito (PT - AC).não.sim	1
Leonardo Monteiro (PT - MG).não.sim	1
Leonardo Picciani (PMDB - RJ).não.sim	1
Leonardo Quintão (PMDB - MG).sim.sim	1
Leônidas Cristino (PDT - CE).não.sim	1
Lucas Vergilio (SD - GO).sim.sim	1
Luciana Santos (PCdoB - PE).não.sim	1
Lucio Mosquini (PMDB - RO).sim.sim	1
Lucio Vieira Lima (PMDB - BA).sim.sim	1
