id,cargo,bruto,liquido
1046,Analista Judiciário,12949.51,8969.59
87,Analista Judiciário,11999.34,9000.8
55,Analista Judiciário,12637.23,9010.06
178,Analista Judiciário,12389.74,9024.93
1143,Analista Judiciário,16861.72,9054.77
83,Analista Judiciário,12340.58,9069.9
621,Analista Judiciário,14328.58,9071.55
1053,Analista Judiciário,15388.49,9088.15
184,Analista Judiciário,12357.29,9092.46
1049,Analista Judiciário,13252.99,9109.18
170,Analista Judiciário,12540.52,9122.15
618,Analista Judiciário,13005.85,9124.93
703,Analista Judiciário,13938.01,9130.12
1173,Analista Judiciário,12398.26,9141.69
569,Analista Judiciário,16255.35,9148.43
499,Analista Judiciário,12758.43,9149.02
372,Analista Judiciário,16112.03,9151.22
116,Analista Judiciário,14621.41,9157.88
672,Analista Judiciário,13311.47,9163.89
1100,Analista Judiciário,12637.23,9169.9
7,Analista Judiciário,11990.31,9175.26
1057,Analista Judiciário,13034.68,9187.38
767,Analista Judiciário,12742.78,9189.25
495,Analista Judiciário,14573.09,9190.11
320,Analista Judiciário,12448.89,9194.6
292,Analista Judiciário,12466.89,9227.23
1136,Analista Judiciário,15915.26,9241.92
846,Analista Judiciário,12592.28,9246.87
769,Analista Judiciário,12164.44,9260.42
836,Analista Judiciário,14173.48,9272.49
360,Analista Judiciário,15192.88,9284.9
346,Analista Judiciário,12438.9,9298.73
994,Analista Judiciário,12462.97,9299.6
952,Analista Judiciário,12054.42,9313.61
1174,Analista Judiciário,12291.42,9318.65
442,Analista Judiciário,13744.54,9365.13
598,Analista Judiciário,12992.81,9375.22
377,Analista Judiciário,15508.4,9380.64
676,Analista Judiciário,13167.63,9383.15
559,Analista Judiciário,13259.6,9395.26
666,Analista Judiciário,15003.13,9395.65
1141,Analista Judiciário,12936.51,9397.48
365,Analista Judiciário,16291.18,9407.42
14,Analista Judiciário,24891.73,9416.04
467,Analista Judiciário,14823.95,9419.06
730,Analista Judiciário,14921.79,9435.41
641,Analista Judiciário,12989.81,9443.71
741,Analista Judiciário,17569.08,9465.26
131,Analista Judiciário,15004.66,9469
948,Analista Judiciário,13495.47,9482.02
234,Analista Judiciário,19957.03,9493.77
696,Analista Judiciário,24338.11,9496.37
84,Analista Judiciário,23510.9,9506.02
865,Analista Judiciário,17599.86,9508.04
369,Analista Judiciário,24663.97,9522.34
136,Analista Judiciário,13369.7,9523.91
699,Analista Judiciário,22452.15,9532.1
244,Analista Judiciário,14425.75,9545.99
1159,Analista Judiciário,13583.48,9549.08
463,Analista Judiciário,13304.99,9559.55
338,Analista Judiciário,13449.04,9562.11
536,Analista Judiciário,16225.41,9577.6
682,Analista Judiciário,13311.47,9578.27
982,Analista Judiciário,13397.41,9582.24
396,Analista Judiciário,22499.22,9587.47
382,Analista Judiciário,13022.66,9590.56
517,Analista Judiciário,13123.92,9633.76
425,Analista Judiciário,12500.48,9644.3
388,Analista Judiciário,15574.57,9644.82
701,Analista Judiciário,13311.47,9655.07
1117,Analista Judiciário,12592.28,9660.22
1167,Analista Judiciário,13123.92,9661.84
115,Analista Judiciário,14595.29,9676.74
887,Analista Judiciário,13022.66,9679.64
255,Analista Judiciário,20868.76,9688.37
576,Analista Judiciário,15335.52,9693.41
829,Analista Judiciário,12693.54,9702.18
660,Analista Judiciário,12423.11,9705.33
619,Analista Judiciário,12638.15,9716.19
1012,Analista Judiciário,14068.95,9724.02
114,Analista Judiciário,12613.57,9726.29
303,Analista Judiciário,13123.92,9731.82
1027,Analista Judiciário,17608.47,9744.79
4,Analista Judiciário,15668.5,9766.77
1132,Analista Judiciário,13311.47,9772.19
560,Analista Judiciário,13744.54,9796.85
606,Analista Judiciário,14587.85,9801.39
492,Analista Judiciário,17274.52,9803.8
794,Analista Judiciário,15747.67,9808.3
521,Analista Judiciário,13917.54,9817.81
1108,Analista Judiciário,13804.78,9833.14
490,Analista Judiciário,14929.59,9833.31
318,Analista Judiciário,14013.25,9835.13
239,Analista Judiciário,14537.98,9857.83
762,Analista Judiciário,21097.33,9879.58
538,Analista Judiciário,13532.85,9901.99
26,Analista Judiciário,13338.24,9928.75
1182,Analista Judiciário,13516.15,9950.9
101,Analista Judiciário,12966.61,9962.64
1180,Analista Judiciário,13744.54,9968.76
204,Analista Judiciário,15372.99,9978.73
1203,Analista Judiciário,14413.92,9984.45
850,Analista Judiciário,14087.42,9991.95
882,Analista Judiciário,17373.52,9994.36
973,Analista Judiciário,14509.42,9995.25
534,Analista Judiciário,17339.37,10024.92
528,Analista Judiciário,13954.77,10030.33
457,Analista Judiciário,22451.43,10046.33
1177,Analista Judiciário,14823.95,10053.04
868,Analista Judiciário,16903.23,10097.87
616,Analista Judiciário,15970.14,10102.41
1080,Analista Judiciário,21145.11,10127.6
297,Analista Judiciário,13605.17,10129.37
420,Analista Judiciário,13804.78,10142.63
137,Analista Judiciário,14191.34,10146.26
1119,Analista Judiciário,14410.58,10185.94
340,Analista Judiciário,14573.09,10189.18
879,Analista Judiciário,19308.6,10195.77
1197,Analista Judiciário,17370.24,10204.8
11,Analista Judiciário,13218.41,10223.98
241,Analista Judiciário,20905.57,10238.38
664,Analista Judiciário,17419.44,10256.88
732,Analista Judiciário,24764.97,10264.92
154,Analista Judiciário,16378.65,10266.52
584,Analista Judiciário,19506.86,10292.5
1107,Analista Judiciário,14442.14,10310.45
842,Analista Judiciário,16536.36,10335.82
1135,Analista Judiciário,13570.57,10347.27
830,Analista Judiciário,15092.33,10357.03
443,Analista Judiciário,15334.44,10367.53
854,Analista Judiciário,23330.88,10379.81
143,Analista Judiciário,21782.64,10394.2
950,Analista Judiciário,17692.04,10417.44
651,Analista Judiciário,14981.68,10425.49
426,Analista Judiciário,14611.59,10436.55
751,Analista Judiciário,15792.99,10439.27
944,Analista Judiciário,25344.31,10439.75
580,Analista Judiciário,14871.22,10450.44
