segmento,on,nome,presidente,mulher,diretores,mulheres,prop
produtivo / industrial,não,Triangulosol,Reinaldo Bertin,Homem preside Conselho,8,1,0.13
produtivo / industrial,não,Rod Colinas,Reinaldo Bertin,Homem preside Conselho,8,1,0.13
produtivo / industrial,não,Mangels Indl,Robert Max Mangels,Homem preside Conselho,4,1,0.25
produtivo / industrial,não,Eletropar,Samuel Assayag Hanan,Homem preside Conselho,5,1,0.20
financeiro / holding / participações,não,Agpart,Sérgio Lins Andrade,Homem preside Conselho,5,1,0.20
produtivo / industrial,não,Agconcessoes,Sérgio Lins Andrade,Homem preside Conselho,3,1,0.33
produtivo / industrial,não,Casan,Valter José Gallina,Homem preside Conselho,8,1,0.13
consumo / varejo,não,Excelsior,Wesley Mendonça Batista,Homem preside Conselho,4,1,0.25
produtivo / industrial,não,Termopernambuco,​marcus Moreira De Almeida,Homem preside Conselho,7,1,0.14
produtivo / industrial,sim,Tim Part S/A,Adhemar Gabriel Bahadian,Homem preside Conselho,10,2,0.20
produtivo / industrial,sim,Ccr Sa,Murilo Cesar Lemos Dos Santos Passos,Homem preside Conselho,11,2,0.18
produtivo / industrial,sim,Fertilizantes Heringer S.A.,Dalton Dias Heringer,Homem preside Conselho,9,2,0.22
consumo / varejo,sim,Anima,Daniel Krepel Goldberg,Homem preside Conselho,8,2,0.25
consumo / varejo,sim,Direcional,Wilson Nélio Brumer,Homem preside Conselho,7,2,0.29
consumo / varejo,sim,Natura,Guilherme Peirão Leal,Homem preside Conselho,9,2,0.22
consumo / varejo,sim,Hypermarcas,João Alves De Queiroz Filho,Homem preside Conselho,10,2,0.20
consumo / varejo,sim,Lojas Renner,Osvaldo Burgos Schirmer*,Homem preside Conselho,8,2,0.25
produtivo / industrial,não,Brq,Benjamin Ribeiro Quadros,Homem preside Conselho,6,2,0.33
financeiro / holding / participações,não,Monteiro Aranha,Olavo Egydio Monteiro De Carvalho,Homem preside Conselho,10,2,0.20
financeiro / holding / participações,não,Bahema,Afranio Affonso Ferreira Neto,Homem preside Conselho,4,2,0.50
produtivo / industrial,não,Metisa,Flavio Snell,Homem preside Conselho,8,2,0.25
consumo / varejo,não,Saraiva,Jorge Eduardo Saraiva,Homem preside Conselho,6,2,0.33
financeiro / holding / participações,não,Mgi Particip,José Afonso Bicalho Beltrão Da Silva,Homem preside Conselho,7,2,0.29
consumo / varejo,não,Dufry Ag,Juan Carlos Torres Carretero,Homem preside Conselho,9,2,0.22
financeiro / holding / participações,não,J B Duarte,Laodse Denis De Abreu Duarte,Homem preside Conselho,3,2,0.67
produtivo / industrial,não,Sanepar,Mauro Ricardo Machado Costa,Homem preside Conselho,9,2,0.22
produtivo / industrial,não,Viaoeste,Murilo Cesar Lemos Dos Santos Passos,Homem preside Conselho,11,2,0.18
produtivo / industrial,não,Novadutra,Murilo Cesar Lemos Dos Santos Passos,Homem preside Conselho,11,2,0.18
produtivo / industrial,não,Autoban,Murilo Cesar Lemos Dos Santos Passos,Homem preside Conselho,11,2,0.18
financeiro / holding / participações,não,Finansinos,Paulo Cesar Sanvitto,Homem preside Conselho,5,2,0.40
produtivo / industrial,não,Rt Bandeiras,Paulo De Meira Lins,Homem preside Conselho,4,2,0.50
consumo / varejo,não,Dohler,Roland Döhler,Homem preside Conselho,7,2,0.29
financeiro / holding / participações,sim,Wiz,Alexandre Siqueira Monteiro,Homem preside Conselho,10,3,0.30
consumo / varejo,sim,Arezzo Co,Anderson Lemos Birman,Homem preside Conselho,10,3,0.30
produtivo / industrial,não,Copel,Mauricio Schulman,Homem preside Conselho,9,3,0.33
produtivo / industrial,não,Algar Telecom S/A,Divino Sebastião De Souza,Homem preside Conselho,10,3,0.30
financeiro / holding / participações,não,Atompar,José Joaquim Paifer,Homem preside Conselho,6,3,0.50
consumo / varejo,não,Santanense,Josué Christiano Gomes Da Silva,Homem preside Conselho,9,4,0.44
financeiro / holding / participações,não,Octante Sec,Amanda Martinez Pires,Sim, uma mulher é presidente do Conselho,3,1,0.33
produtivo / industrial,não,Ferbasa,Bárbara Klein De Araújo Carvalho,Sim, uma mulher é presidente do Conselho,7,2,0.29
produtivo / industrial,não,Aco Altona,Carmen Vetter Werner,Sim, uma mulher é presidente do Conselho,5,2,0.40
financeiro / holding / participações,não,Cibrasec,Cristiane Magalhães Teixeira Portela,Sim, uma mulher é presidente do Conselho,8,1,0.13
produtivo / industrial,não,Nordon Metalurgica,Elizabeth Do Rocio De Freitas,Sim, uma mulher é presidente do Conselho,3,1,0.33
produtivo / industrial,não,Metal Iguacu,Lilian De Payrebrune St.Seve Marins,Sim, uma mulher é presidente do Conselho,3,2,0.67
produtivo / industrial,sim,Contax,Livia Xavier De Mello,Sim, uma mulher é presidente do Conselho,6,2,0.33
consumo / varejo,sim,Magazine Luiza,Luiza Helena Trajano Inácio Rodrigues,Sim, uma mulher é presidente do Conselho,7,3,0.43
financeiro / holding / participações,não,Eletron,Maria Amalia Delfim De Melo Coutrim,Sim, uma mulher é presidente do Conselho,1,1,1.00
financeiro / holding / participações,não,Sudeste S/A,Maria Amalia Delfim De Melo Coutrim,Sim, uma mulher é presidente do Conselho,1,1,1.00
financeiro / holding / participações,não,Opgm3B,Maria Amalia Delfim De Melo Coutrim,Sim, uma mulher é presidente do Conselho,1,1,1.00
financeiro / holding / participações,não,Opportunity Energia,Maria Amalia Delfim De Melo Coutrim,Sim, uma mulher é presidente do Conselho,1,1,1.00
consumo / varejo,sim,M.Diasbranco,Maria Consuelo Saraiva Leão Dias Branco,Sim, uma mulher é presidente do Conselho,4,2,0.50
produtivo / industrial,não,Ampla Energia,Maria Patrizia Grieco,Sim, uma mulher é presidente do Conselho,9,3,0.33
produtivo / industrial,não,Coelce,Maria Patrizia Grieco,Sim, uma mulher é presidente do Conselho,9,3,0.33
produtivo / industrial,não,Minasmaquina,Maria Stella Gonçalves De Faria,Sim, uma mulher é presidente do Conselho,4,2,0.50
consumo / varejo,não,Grazziotin,Renata Grazziotin,Sim, uma mulher é presidente do Conselho,6,2,0.33
produtivo / industrial,sim,Santos Brasil,Verônica Valente Dantas,Sim, uma mulher é presidente do Conselho,7,2,0.29
produtivo / industrial,não,Santos Brasil,Verônica Valente Dantas,Sim, uma mulher é presidente do Conselho,7,2,0.29
