segmento,on,nome,ceo,mulher,diretores,mulheres,prop
consumo / varejo,sim,Jbs,Wesley Mendonça Batista,não,4,0,0.00
consumo / varejo,sim,Marfrig,Martin Secco Arias,não,5,0,0.00
financeiro / holding / participações,sim,B3,Gilson Finkelsztain,não,6,0,0.00
financeiro / holding / participações,sim,General Shopping,Alexandre Lopes Dias,não,4,0,0.00
consumo / varejo,sim,Kroton,Rodrigo Calvo Galindo,não,10,0,0.00
produtivo / industrial,sim,Romi,Luiz Cassiano Rando Rosolen,não,5,0,0.00
produtivo / industrial,sim,Cpfl Renovaveis,Gustavo Henrique Santos De Sousa,não,4,0,0.00
consumo / varejo,sim,Multiplus,Roberto José Maris De Medeiros,não,3,0,0.00
produtivo / industrial,sim,Lupatech,Ricardo Doebeli,não,3,0,0.00
produtivo / industrial,sim,Alliar,Fernando Machado Terni,não,8,0,0.00
produtivo / industrial,sim,Log-In,Marco Antonio Souza Cauduro,não,5,0,0.00
consumo / varejo,sim,Cvc Brasil,Luiz Eduardo Falco Pires Correa,não,6,0,0.00
financeiro / holding / participações,sim,Porto Seguro,Fabio Luchetti,não,8,0,0.00
consumo / varejo,sim,Rossi Residencial,Rodrigo Moraes Martins,não,4,0,0.00
produtivo / industrial,sim,Totvs,Laércio José De Lucena Cosentino,não,11,0,0.00
produtivo / industrial,sim,Mmx Miner,Ricardo Furquim Werneck Guimarães,não,1,0,0.00
consumo / varejo,sim,Cia Hering,Fabio Hering,não,6,0,0.00
produtivo / industrial,sim,Light S/A,Ana Marta Horta Veloso,sim,8,1,0.13
consumo / varejo,sim,Localiza,Eugênio Pacelli Mattar,não,25,4,0.16
consumo / varejo,sim,Mrv,Rafael Nazareth Menin Teixeira De Souza,não,9,2,0.22
produtivo / industrial,sim,Embraer,Paulo Cesar De Souza E Silva,não,9,1,0.11
produtivo / industrial,sim,Raiadrogasil,Marcílio D‘amico Pousada,não,7,1,0.14
financeiro / holding / participações,sim,Bbseguridade,José Maurício Pereira Coelho,não,4,1,0.25
produtivo / industrial,sim,Mills,Sérgio Kariya,não,6,1,0.17
consumo / varejo,sim,Lojas Marisa,Marcelo Pereira Malta Araujo,não,3,1,0.33
consumo / varejo,não,Minupar,Carla Luciane Diedrich,sim,2,1,0.50
financeiro / holding / participações,sim,Sao Carlos,Felipe Góes,não,4,1,0.25
produtivo / industrial,sim,Duratex,Antonio Joaquim De Oliveira,não,10,1,0.10
produtivo / industrial,sim,Hermes Pardini,Roberto Santoro,não,5,1,0.20
financeiro / holding / participações,não,Brc Securit,Carlos Javier Betancourt,não,5,1,0.20
produtivo / industrial,não,Nordon Metalurgica,Elizabeth Do Rocio De Freitas,sim,2,2,1.00
financeiro / holding / participações,não,Santander Br,Sergio Agapito Rial,não,42,3,0.07
consumo / varejo,não,Lojas Americ,Miguel Gomes Pereira Sarmiento Gutierrez,não,11,2,0.18
financeiro / holding / participações,não,Bradesco,Luiz Carlos Trabuco,não,23,2,0.09
produtivo / industrial,não,Klabin S/A,Cristiano Teixeira,não,11,1,0.09
produtivo / industrial,não,Vale,Murilo Ferreira,não,7,1,0.14
consumo / varejo,não,Pão de Açúcar,Ronaldo Iabrudi,não,7,1,0.14
produtivo / industrial,não,Cemig,Bernardo Afonso Salomão De Alvarenga,não,11,1,0.09
produtivo / industrial,não,Eletrobras,Wilson Ferreira Junior,não,7,1,0.14
produtivo / industrial,não,Petrobras,Pedro Parente,não,8,1,0.13
financeiro / holding / participações,não,Octante Sec,Juliana Mello Esteves Pereira,sim,3,2,0.67
financeiro / holding / participações,não,Merc Brasil,Luiz Henrique Andrade De Araújo,não,17,4,0.24
produtivo / industrial,não,Ceg,Bruno Armbrust,não,12,4,0.33
financeiro / holding / participações,não,Merc Invest,Luiz Henrique Andrade De Araújo,não,17,3,0.18
financeiro / holding / participações,não,Eletron,Maria Amalia Delfim De Melo Coutrim,sim,3,2,0.67
produtivo / industrial,não,Suzano Papel,Walter Schalka,não,6,0,0.00
produtivo / industrial,não,Telef Brasil,Eduardo Navarro De Carvalho,não,3,0,0.00
financeiro / holding / participações,não,Itausa,Alfredo Egydio Setubal,não,3,0,0.00
produtivo / industrial,não,Bradespar,Johan Albino Ribeiro Diretor,não,2,0,0.00
produtivo / industrial,não,Usiminas,Sergio Leite De Andrade,não,4,0,0.00
consumo / varejo,não,J.Macedo,Luiz Henrique Lissoni,não,6,2,0.33
produtivo / industrial,não,Statkraft,Fernando De Lapuerta Montoya,não,6,2,0.33
financeiro / holding / participações,não,Sudeste S/A,Maria Amalia Delfim De Melo Coutrim,sim,1,1,1.00
consumo / varejo,não,Cinesystem,Marcos Rocha Magalhães Barros,não,6,2,0.33
produtivo / industrial,não,Baumer,Ruy Salvari Baumer,não,7,2,0.29
financeiro / holding / participações,não,Opgm3B,Maria Amalia Delfim De Melo Coutrim,sim,2,1,0.50
financeiro / holding / participações,não,Opportunity Energia,Maria Amalia Delfim De Melo Coutrim,sim,2,1,0.50
financeiro / holding / participações,não,Banpara,Augusto Sérgio Amorim Costa,não,6,2,0.33
produtivo / industrial,não,Wetzel S/A,André Luis Wetzel Da Silva,não,2,1,0.50
financeiro / holding / participações,não,Bndespar,Maria Silvia Bastos Marques,sim,9,4,0.44
produtivo / industrial,não,Cemar,Augusto Miranda Paz Jr.,não,9,1,0.11
produtivo / industrial,não,Fer C Atlant,Murilo Ferreira,não,7,1,0.14
produtivo / industrial,não,Cemig Dist,Bernardo Afonso Salomão De Alvarenga,não,10,1,0.10
produtivo / industrial,não,Cemig Gt,"Bernardo Afonso Salomão De Alvarenga , Formação Graduado Em Engenharia Elétrica Pela Universidade Federal De Minas Gerais, Com Mba Em Gestão Empresarial Pela Fundação Getúlio Vargas. Cargos Que Ocupou: Na Cemig, Bernardo Alvarenga Também Foi Diretor Comercial, Superintendente De Compra E Venda De Energia No Atacado, Superintendente Comercial De Grandes Clientes, Superintendente De Relacionamento Comercial Com Clientes Corporativos E Gerente Do Departamento Comercial Operacional De Grandes Clientes. Últimos Cargos / Funções De Destaque: Diretor De Energia Da Usiminas Sócio Diretor Da Ponta Energia Consultores Associados Ltda",não,10,1,0.10
consumo / varejo,não,Encorpar,Josué Christiano Gomes Da Silva,não,3,1,0.33
produtivo / industrial,não,Dtcom-Direct,Norton Moreira,não,5,1,0.20
produtivo / industrial,não,Mrs Logist,Guilherme Segalla De Mello,não,4,1,0.25
produtivo / industrial,não,Coelba,Fernando Arronte Villages,não,5,1,0.20
produtivo / industrial,não,Celpe,​antônio Carlos Sanches,não,5,1,0.20
produtivo / industrial,não,Cosern,​luiz Antonio Ciarlini,não,5,1,0.20
financeiro / holding / participações,não,Prompt Part,Maria Amalia Delfim De Melo Coutrim,não,2,1,0.50
produtivo / industrial,sim,Copasa,Sinara Inácio Meireles Chenna - Diretora Presidente (Pre),sim,8,1,0.13
produtivo / industrial,não,Lix Da Cunha,Elias Abrão Ayek,não,3,1,0.33
financeiro / holding / participações,não,Pine,Norberto Zaiet Junior,não,6,1,0.17
financeiro / holding / participações,não,Sul America,Gabriel Portella Fagundes Filho,não,4,1,0.25
financeiro / holding / participações,não,Habitasul,Péricles De Freitas Druck,não,4,1,0.25
produtivo / industrial,não,Itapebi,Solange Maria Pinto Ribeiro,sim,7,2,0.29
financeiro / holding / participações,não,Altere Sec,Felipe Wallace Simonsen,não,2,0,0.00
produtivo / industrial,não,Ceee-D-Gt-Par,Paulo De Tarso Gaspar Pinheiro Machado,não,7,0,0.00
consumo / varejo,não,Ouro Verde,Karlis Jonatan Kruklis,não,2,0,0.00
produtivo / industrial,não,Kepler Weber,Anastácio Fernandes Filho,não,4,0,0.00
produtivo / industrial,não,Gol,Paulo Sergio Kakinoff,não,5,0,0.00
financeiro / holding / participações,não,Cibrasec,Onivaldo Scalco,não,2,0,0.00
