segmento,on,nome,ceo,mulher,diretores,mulheres,prop
consumo / varejo,sim,Locamerica,Luis Fernando Memória Porto,não,5,0,0.00
financeiro / holding / participações,sim,Br Brokers,Claudio Hermolin,não,3,0,0.00
produtivo / industrial,sim,Paranapanema,Marcos Palleta Camara,não,4,0,0.00
consumo / varejo,sim,Terra Santa,Arlindo De Azevedo Moura,não,5,0,0.00
consumo / varejo,sim,Rodobensimob,Alexandre Firmo Mangabeira Albernaz,não,3,0,0.00
consumo / varejo,não,Ambev S/A,Bernardo Pinto Paiva,não,12,1,0.08
consumo / varejo,não,Pettenati,Otavio Ricardo Pettenati,não,5,3,0.60
financeiro / holding / participações,não,Abc Brasil,Anis Chacur Neto,não,29,3,0.10
produtivo / industrial,não,Elektro,Marcio Henrique Fernandes,não,6,3,0.50
financeiro / holding / participações,não,Rbcapitalres,Adalbero Cavalcanti,não,10,3,0.30
financeiro / holding / participações,não,Rbcapitalsec,Adalbero Cavalcanti,não,10,3,0.30
consumo / varejo,não,Alpargatas,Márcio Luiz Simões Utsch,não,9,2,0.22
produtivo / industrial,não,Oi,Marco Norci Schroeder,não,13,2,0.15
produtivo / industrial,não,Neoenergia,Solange Maria Pinto Ribeiro,não,7,2,0.29
produtivo / industrial,não,Conc Raposo,Clara Maria Da Cunha Ferraz,sim,2,1,0.50
financeiro / holding / participações,não,Brb Banco,Vasco Cunha Gonçalves,não,8,2,0.25
financeiro / holding / participações,não,Itau Unibanco,Roberto Egydio Setubal,não,24,2,0.08
produtivo / industrial,não,Itautec,Irineu Gôvea,não,4,2,0.50
consumo / varejo,não,Maestroloc,Fabio Lewkowicz,não,3,1,0.33
produtivo / industrial,não,Nortcquimica,Marcus Cesar Soalheiro Alexandrino Da Cruz,não,6,1,0.17
financeiro / holding / participações,não,Parana Banco,Cristiano Malucelli,não,5,1,0.20
consumo / varejo,não,Joao Fortes,Ricardo Pierozzi,não,5,1,0.20
produtivo / industrial,não,Aes Elpa,Clarissa Della Nina Sadock Accorsi,não,2,1,0.50
consumo / varejo,não,Melhor Sp,Sérgio Sesiki,não,3,0,0.00
produtivo / industrial,não,Csn,Benjamin Steinbruch,não,5,0,0.00
produtivo / industrial,não,Gerdau Metalurgica,André Bier Gerdau Johannpeter,não,4,0,0.00
produtivo / industrial,não,Gerdau S.A.,André Bier Gerdau Johannpeter,não,5,0,0.00
consumo / varejo,não,Estacio Part,Pedro Thompson Landeira De Oliveira,não,7,0,0.00
produtivo / industrial,não,Braskem,Fernando Musa,não,8,0,0.00
produtivo / industrial,não,Concepa,Thiago Vitorello,não,3,1,0.33
financeiro / holding / participações,não,Menezes Cort,Luiz Felipe Barbero Goulart Pereira,não,2,1,0.50
produtivo / industrial,não,Gruairport,Gustavo Figueiredo,não,4,1,0.25
financeiro / holding / participações,não,Gp Invest,Antonio Bonchristiano,não,8,1,0.13
produtivo / industrial,não,Celpa,Nonato Castro,não,7,1,0.14
financeiro / holding / participações,não,Beta Securit,Gladstone Medeiros De Sequeira,não,3,1,0.33
produtivo / industrial,não,Paul F Luz,André Dorf,não,7,1,0.14
produtivo / industrial,não,Cpfl Piratin,André Dorf,não,7,1,0.14
produtivo / industrial,não,Energisa,Ricardo Perez Botelho,não,5,1,0.20
produtivo / industrial,não,Energisa Mt,Ricardo Perez Botelho,não,7,1,0.14
financeiro / holding / participações,não,Longdis,Kevin Michael Altit,não,2,1,0.50
financeiro / holding / participações,não,Ret Part,Kevin Michael Altit,não,2,1,0.50
financeiro / holding / participações,não,Selectpart,Kevin Michael Altit,não,2,1,0.50
financeiro / holding / participações,não,Telinvest,Kevin Michael Altit,não,2,1,0.50
financeiro / holding / participações,não,Banrisul,Luiz Gonzaga Veras Mota,não,9,1,0.11
financeiro / holding / participações,não,Btg Pactual,José Octavio Mendes Vita,não,2,1,0.50
financeiro / holding / participações,não,Banestes,Michel Neves Sarkis,não,8,1,0.13
financeiro / holding / participações,não,Eco Sec Agro,Douglas De Albuquerque,não,11,1,0.09
financeiro / holding / participações,não,Alfa Holding,Fabio Alberto Amorosino,não,7,1,0.14
financeiro / holding / participações,não,Alfa Holding,Fabio Alberto Amorosino,não,7,1,0.14
produtivo / industrial,não,Og Participações,Paulo Narcélio Simões Amaral,não,3,1,0.33
financeiro / holding / participações,não,Pdg Securitizadora,​Vladimir Kundert Ranevsky,não,2,1,0.50
produtivo / industrial,não,Celgpar,Braulio Afonso Morais,não,3,1,0.33
produtivo / industrial,não,Proman,Attílio Guaspari,não,2,1,0.50
produtivo / industrial,não,Rio Gde Ener,André Dorf,não,7,1,0.14
produtivo / industrial,não,Aes Sul,André Dorf,não,7,1,0.14
produtivo / industrial,não,Cpfl Geracao,André Dorf,não,7,1,0.14
produtivo / industrial,não,Afluente,Solange Maria Pinto Ribeiro,sim,7,2,0.29
financeiro / holding / participações,não,Ourinvestsec,Bruce Thomas Philips,não,2,0,0.00
consumo / varejo,não,Spturis,David Barioni Neto,não,6,0,0.00
produtivo / industrial,não,Sanesalto,Mario Vieira Marcondes Neto,não,3,0,0.00
produtivo / industrial,não,Ger Paranap,Yinsheng Li,não,5,0,0.00
consumo / varejo,não,Const A Lind,Adolpho Lindenberg Filho,não,2,0,0.00
consumo / varejo,não,Cedro,Marco Antônio Branquinho Junior,não,3,0,0.00
produtivo / industrial,não,Pratica,André Luiz Rosa Rezende,não,2,0,0.00
produtivo / industrial,não,Telebras,Antonio Klinger Loss Leite,não,4,0,0.00
financeiro / holding / participações,não,Brpr 45 Sec,Martín Andrés Jaco,não,2,0,0.00
financeiro / holding / participações,não,Brpr 55 Sec,Martín Andrés Jaco,não,2,0,0.00
financeiro / holding / participações,não,Brpr 56 Sec,Martín Andrés Jaco,não,2,0,0.00
produtivo / industrial,não,Empresa Conc Rodov Do Norte S.A.Econorte,Helio Ogama,não,2,0,0.00
produtivo / industrial,não,Senior Sol,Bernardo Francisco Pereira Gomes,não,5,0,0.00
produtivo / industrial,não,Ebe,Carlos Emanuel Baptista Andrade,não,5,0,0.00
financeiro / holding / participações,não,Cor Ribeiro,Armando Carvalho Corrêa Ribeiro,não,3,0,0.00
consumo / varejo,não,Renaux,Armando Cesar Hess De Souza,não,2,0,0.00
produtivo / industrial,não,Inepar,Warley Isaac Noboa Pimentel,não,2,0,0.00
produtivo / industrial,não,Cteep,Reynaldo Passanezi Filho,não,5,0,0.00
produtivo / industrial,não,Eletropaulo,Charles Lenzi,não,4,0,0.00
produtivo / industrial,não,Aes Tiete,Ítalo Tadeu De Carvalho Freitas Filho,não,6,0,0.00
consumo / varejo,não,Estrela,Carlos Antonio Tilkian,não,2,0,0.00
financeiro / holding / participações,não,Amazonia,Valdecir José Tose,não,5,0,0.00
produtivo / industrial,não,La Fonte Tel,Carlos Jereissati,não,3,0,0.00
consumo / varejo,não,Karsten,Armando Cesar Hess De Souza,não,5,0,0.00
produtivo / industrial,não,Cristal,Paulo Roberto Dantas Oliveira,não,3,0,0.00
produtivo / industrial,não,Bardella,José Roberto Mendes Da Silva,não,3,0,0.00
financeiro / holding / participações,não,Itaitinga,Danilo Gamboa,não,2,0,0.00
financeiro / holding / participações,não,Cabinda Part,Danilo Gamboa,não,2,0,0.00
financeiro / holding / participações,não,Caco3B,Danilo Gamboa,não,2,0,0.00
financeiro / holding / participações,não,Caianda Part,Danilo Gamboa,não,2,0,0.00
produtivo / industrial,não,Fras-Le,Sergio Lisbão Moreira De Carvalho,não,3,0,0.00
financeiro / holding / participações,não,Polpar,David Feffer,não,2,0,0.00
consumo / varejo,não,Advanced-Dh,Sergio Petri,não,1,0,0.00
produtivo / industrial,não,Cabambiental,Otávio Ferreira Da Silveira,não,2,0,0.00
financeiro / holding / participações,não,Brazil Realt,Antonio Carlos Zorzi,não,7,0,0.00
produtivo / industrial,não,Nutriplant,Ricardo Lessa Pansa,não,2,0,0.00
financeiro / holding / participações,não,Banese,Fernando Soares Da Mota,não,4,0,0.00
financeiro / holding / participações,não,Banco Pan,José Luiz Acar Pedro,não,6,0,0.00
produtivo / industrial,não,Biomm,Heraldo Carvalho Marchezini,não,5,0,0.00
produtivo / industrial,não,Invepar,Erik Da Costa Breyer -,não,4,0,0.00
