uf,indice
AC,2.28
AL,3.54
AM,5.69
AP,1.72
BA,3.99
CE,2.86
DF,1.69
ES,5.32
GO,1.44
MA,3.28
MG,2.76
MS,2.95
MT,4.85
PA,2.36
PB,2.13
PE,2.0
PI,12.84
PR,1.35
RJ,7.11
RN,3.56
RO,3.65
RR,4.84
RS,1.93
SC,2.2
SE,1.14
SP,1.72
TO,1.02
