headline,link,categoria,subcategoria,dia,mês,ano,data,datadois
CNI/Ibope: 39% desaprovam governo Temer; 13% aprovam,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/cniibope-39-desaprovam-governo-temer-13-aprovam,Repercussões,Temer,1,7,2016,01/07/2016,07/01/2016
Direitos dos caiçaras são tema de manifestações e de mesas ...,http://agenciabrasil.ebc.com.br/direitos-humanos/noticia/2016-07/direitos-dos-caicaras-sao-tema-de-manifestacoes-e-de-mesas,Repercussões,Protestos,2,7,2016,02/07/2016,07/02/2016
Grupo protesta contra Temer em frente ao Palácio do Planalto,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/grupo-protesta-contra-temer-em-frente-ao-palacio-do-planalto,Repercussões,Protestos,4,7,2016,04/07/2016,07/04/2016
Governo do Rio começa a usar verba federal para pagar salários ...,http://agenciabrasil.ebc.com.br/geral/noticia/2016-07/governo-do-rio-comeca-aplicar-verba-federal-na-seguranca-da-rio-2016,Repercussões,Novas Políticas,4,7,2016,04/07/2016,07/04/2016
Waldir Maranhão pede indicação de nomes para comissão do ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/waldir-maranhao-pede-indicacao-de-nomes-para-comissao-do-impeachment-de,Repercussões,Impeachment,5,7,2016,05/07/2016,07/05/2016
Renan diz que Senado vai votar lei sobre abuso de autoridade ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/renan-diz-que-senado-vai-votar-lei-sobre-abuso-de-autoridade-antes-do,Repercussões,Congresso & Base Aliada,5,7,2016,05/07/2016,07/05/2016
Líderes têm cinco dias para indicar membros de comissão de ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/lideres-tem-cinco-dias-para-indicar-membros-de-comissao-de-impeachment-de,Repercussões,Impeachment,6,7,2016,06/07/2016,07/06/2016
Câmara rejeita urgência do governo para renegociação da dívida ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/camara-rejeita-urgencia-do-governo-para-renegociacao-da-divida-dos-estados,Repercussões,Congresso & Base Aliada,6,7,2016,06/07/2016,07/06/2016
Deputado pede a Temer intervenção federal no Rio,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/deputado-pede-temer-intervencao-federal-no-rio-de-janeiro,Repercussões,Temer,6,7,2016,06/07/2016,07/06/2016
Oposição diz que não há acordo para votar renegociação da dívida ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/oposicao-diz-que-nao-ha-acordo-para-votar-renegociacao-da-divida-dos,Repercussões,Congresso & Base Aliada,6,7,2016,06/07/2016,07/06/2016
Clima é de confiança na retomada da indústria de petróleo e gás ...,http://agenciabrasil.ebc.com.br/geral/noticia/2016-07/clima-e-de-confianca-na-retomada-da-industria-de-petroleo-e-gas-diz-ibp,Repercussões,Novas Políticas,6,7,2016,06/07/2016,07/06/2016
Dilma se diz alvo de complô reafirma inocência e faz apelo a ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/dilma-se-diz-alvo-de-complo-reafirma-inocencia-e-faz-apelo-senadores,Repercussões,Impeachment,6,7,2016,06/07/2016,07/06/2016
Índios Pataxó e Tupinambá pedem manutenção de demarcações ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/indios-pataxo-e-tupinamba-pedem-manutencao-de-demarcacoes-feitas-por-dilma,Repercussões,Protestos,6,7,2016,06/07/2016,07/06/2016
Cientistas políticos dizem que renúncia de Cunha pode favorecer ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/cientistas-politicos-dizem-que-renuncia-de-cunha-pode-favorecer-governo,Repercussões,Congresso & Base Aliada,7,7,2016,07/07/2016,07/07/2016
Nordeste pede ajuda urgente de R$ 143 bilhões ao governo federal,http://agenciabrasil.ebc.com.br/economia/noticia/2016-07/nordeste-pede-ajuda-urgente-de-r-143-bilhoes-ao-governo-federal,Repercussões,Outros,7,7,2016,07/07/2016,07/07/2016
Homenagens e protestos marcam passagem da tocha olímpica por ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-07/homenagens-e-protestos-marcam-passagem-da-tocha-olimpica-por-porto-alegre,Repercussões,Protestos,7,7,2016,07/07/2016,07/07/2016
Dilma diz em SP que governo interino só revela parte da verdade ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/dima-diz-em-sp-que-governo-interino-so-revela-parte-da-verdade-do,Repercussões,Outros,8,7,2016,08/07/2016,07/08/2016
Relator defende aprovação da LDO com rombo de R$ 139 bilhões,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/relator-defende-aprovacao-da-ldo-com-rombo-de-r139-bilhoes,Repercussões,Cortes & Revisões,11,7,2016,11/07/2016,07/11/2016
Dilma é convidada mas ainda não decidiu se participa da abertura ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-07/dilma-e-convidada-mas-ainda-nao-decidiu-se-participa-da-abertura-da,Repercussões,Outros,11,7,2016,11/07/2016,07/11/2016
Movimentos sociais ocupam sede do Incra em Brasília,http://agenciabrasil.ebc.com.br/geral/noticia/2016-07/movimentos-sociais-ocupam-sede-do-incra-em-brasilia,Repercussões,Protestos,11,7,2016,11/07/2016,07/11/2016
Secretário-geral da Unasul defende continuidade democrática no ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/secretario-geral-da-unasul-defende-continuidade-democratica-no-brasil,Repercussões,Impeachment,12,7,2016,12/07/2016,07/12/2016
Votação do projeto sobre abuso de autoridade deve ficar para agosto,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/votacao-do-projeto-sobre-abuso-de-autoridade-deve-ficar-para-agosto,Repercussões,Congresso & Base Aliada,12,7,2016,12/07/2016,07/12/2016
Municípios cobram repasse federal de R$ 45 bilhões em reunião ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/municipios-cobram-repasse-federal-de-r-45-bilhoes-em-reuniao-com-temer,Repercussões,Novas Políticas,13,7,2016,13/07/2016,07/13/2016
Rosso Amin e Orlando Silva defendem retorno da Câmara à ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/rosso-amin-e-orlando-silva-defendem-retorno-da-camara-normalidade,Repercussões,Congresso & Base Aliada,13,7,2016,13/07/2016,07/13/2016
Rio 2016: Estado Islâmico planejou atentado contra franceses diz ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-07/rio-2016-estado-islamico-planejou-atentado-contra-franceses-diz-relatorio,Repercussões,Outros,13,7,2016,13/07/2016,07/13/2016
Eleição na Câmara deve "restabelecer respeitabilidade" diz ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/eleicao-na-camara-deve-restabelecer-respeitabilidade-diz-moreira-franco,Repercussões,Congresso & Base Aliada,13,7,2016,13/07/2016,07/13/2016
Eleição de Maia reaproxima Câmara do Senado diz Renan,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/eleicao-de-maia-reaproxima-camara-do-senado-diz-renan,Repercussões,Congresso & Base Aliada,14,7,2016,14/07/2016,07/14/2016
Com recesso pedido de cassação de Cunha e impeachment ficam ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/com-recesso-pedido-de-cassacao-de-cunha-e-impeachment-ficam-para-agosto,Repercussões,Congresso & Base Aliada,15,7,2016,15/07/2016,07/15/2016
Datafolha: brasileiro está mais otimista com economia do país,https://www.google.com.br/url?sa=t&rct=j&q=&esrc=s&source=newssearch&cd=1&ved=0ahUKEwiVq7DxtcnOAhWDf5AKHbyaAsoQqQIIHigAMAA&url=http%3A%2F%2Fagenciabrasil.ebc.com.br%2Fpolitica%2Fnoticia%2F2016-07%2Fdatafolha-brasileiro-esta-mais-otimista-com-economia-do-pais&usg=AFQjCNGUwyUbiR0QD5_SCu5vs9wB2MS7sA,Repercussões,Temer,16,7,2016,16/07/2016,07/16/2016
Maia lista prioridades e propõe dois dias de trabalho por semana na ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/maia-lista-prioridades-e-propoe-dois-dias-de-trabalho-intenso-durante-rio,Repercussões,Congresso & Base Aliada,16,7,2016,16/07/2016,07/16/2016
Em congresso UNE defende plebiscito sobre novas eleições,http://agenciabrasil.ebc.com.br/geral/noticia/2016-07/em-congresso-une-defende-plebiscito-sobre-novas-eleicoes,Repercussões,Impeachment,17,7,2016,17/07/2016,07/17/2016
