value,key,date
386048.25,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
90490.95,BNDES FINAME,1/1/2015
72409.05,BNDES FINAME,1/1/2015
93990.6,BNDES FINAME,1/1/2015
75209.4,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
180981.91,BNDES FINAME,1/1/2015
144818.09,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
137486.25,BNDES FINAME,1/1/2015
110013.75,BNDES FINAME,1/1/2015
137486.25,BNDES FINAME,1/1/2015
110013.75,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
452454.75,BNDES FINAME,1/1/2015
362045.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
76492.35,BNDES FINAME,1/1/2015
61207.65,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
281971.81,BNDES FINAME,1/1/2015
225628.2,BNDES FINAME,1/1/2015
281971.81,BNDES FINAME,1/1/2015
225628.2,BNDES FINAME,1/1/2015
437456.25,BNDES FINAME,1/1/2015
350043.75,BNDES FINAME,1/1/2015
192980.7,BNDES FINAME,1/1/2015
154419.3,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
482451.75,BNDES FINAME,1/1/2015
386048.25,BNDES FINAME,1/1/2015
