verbete	handle
Crossover thrash	@SERPRO 
Joel Rufino dos Santos	@AgoraNoPlanalto
Torcida Facção Brasiliense	@SERPRO 
Sociedade Esportiva do Gama	@SERPRO 
Estádio Nilton Santos (Rio de Janeiro)	@SERPRO 
Uber (empresa)	@ImprensaBNB 
Da Chen	@AgenciaPF 
Transistor (video game)	@AgenciaPF 
Edyr de Castro	@MPF_PGR 
Paul Pogba	@CorreiosBR
Otto Pérez Molina	@Caixa 
Otto Pérez Molina	@Caixa 
Strong and weak typing	@BancodoBrasil 
SIMPLES	@SenadoFederal 
Geezer Butler	@Caixa 
Teoria da classificação	@Dataprev 
Cessna 172	@AgenciaPF 
Lista de instituições governamentais federais do Brasil	@SERPRO 
Jack, o Estripador	@Caixa 
Protocolo Bluehand: Alienígenas	@STJNoticias 
Haohmaru	@Caixa 
Miyamoto Musashi	@Caixa 
Miyamoto Musashi	@Caixa 
Dilation and evacuation	@Codevasf 
Dilation and evacuation	@Codevasf 
Colusão	@AgenciaPF 
João Arruda	@CamaraDeputados 
Infância e adolescência missionária	@TelebrasBR 
Infância e adolescência missionária	@TelebrasBR 
Elemento operativo sobre o material	@SERPRO 
Elemento operativo sobre o material	@SERPRO 
Jason Mraz	@CorreiosBR
Jason Mraz	@CorreiosBR
Sefer Ietsirá	@Caixa 
Environmental niche modelling	@INPE_MCT 
McGraw-Hill	@CamaraDeputados 
Ordem de Santo Estêvão	@MinEsporte 
Ordem de Santo Estêvão	@SERPRO 
Ordem de Santo Estêvão	@MinEsporte 
Ordem de Santo Estêvão	@SERPRO 
Ordem de Santo Estêvão	@MinEsporte 
Ordem de Santo Estêvão	@SERPRO 
José Mujica	@MPF_PGR 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Oliveira (Minas Gerais)	@AdvocaciaGeral 
Alíquota	@TrabalhoGovBR 
Agoraphobia	@Caixa 
Agoraphobia	@Caixa 
Cimorelli	@TelebrasBR 
Filipe Ret	@SERPRO 
Maicon Douglas Sisenando	@MPF_PGR 
Maicon Douglas Sisenando	#mpm 
União da Vitória	@Caixa 
União da Vitória	@Caixa 
União da Vitória	@Caixa 
Antonieta de Barros	@Caixa 
Brasil Hot 100 Airplay	@CorreiosBR
Jerusalém	@Dataprev 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Lista de rádios do Rio Grande do Sul	@Dataprev 
Lykan HyperSport	@CamaraDeputados 
Maicon Douglas Sisenando	@MPF_PGR 
Maicon Douglas Sisenando	#mpm 
Maicon Douglas Sisenando	@MPF_PGR 
Maicon Douglas Sisenando	#mpm 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Silvânia	@ComunicacoesBR 
Silvânia	@TelebrasBR 
Hercolubus	@Caixa 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@TelebrasBR 
Controladoria-Geral da União (Brasil)	@SERPRO 
Silogismo	@MPF_PGR 
Big data	@MPF_PGR 
Big data	#mpm 
Silogismo	@MPF_PGR 
PC Siqueira	@MEC_Comunicacao 
PC Siqueira	@MEC_Comunicacao 
Curitiba	@CorreiosBR
Missões diplomáticas do Brasil	@SERPRO 
Missões diplomáticas do Brasil	@SERPRO 
Mario Vargas Llosa	@MPF_PGR 
Stella Awards	@AgoraNoPlanalto
Cassava	@MPF_PGR 
Eli (biblical figure)	@SERPRO 
FIFA 100	@Caixa 
FIFA 100	@Caixa 
Rede de Emissoras Independentes	@TelebrasBR 
Gestão do desempenho empresarial	@TrabalhoGovBR 
Vitória Régia (escola de samba)	@Caixa 
Vitória Régia (escola de samba)	@Caixa 
Seleção Brasileira de Futebol	@Caixa 
Seleção Brasileira de Futebol	@Caixa 
Lafayette (Indiana)	@Caixa 
Colletia paradoxa	@Caixa 
Colletia paradoxa	@Caixa 
Esporte Clube Novo Hamburgo	@Caixa 
Esporte Clube Novo Hamburgo	@Caixa 
Massaud Moisés	@Caixa 
Hänsel und Gretel	@MPF_PGR 
Giovanni Silva de Oliveira	@TelebrasBR 
Romeu Silva	@Petrobras 
Duerme Negrito	@Caixa 
Battle of Hosn	@SERPRO 
Palmyra offensive (July–August 2015)	@SERPRO 
Alfredo jorge corrêa de santa rita	@TelebrasBR 
Patrick Vieira	@MPF_PGR 
Patrick Vieira	#mpm 
Yaya Touré	@MPF_PGR 
Yaya Touré	#mpm 
Oscar dos Santos Emboaba Júnior	@MPF_PGR 
Oscar dos Santos Emboaba Júnior	#mpm 
Saeed Chmagh	@SERPRO 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Responsabilidade socioambiental	@TelebrasBR 
Brum	@Caixa 
Brum	@Caixa 
Brum	@Caixa 
Lacrimosa (banda)	@CorreiosBR
Londrina	@CorreiosBR
Bear Grylls	@SenadoFederal 
Aeroporto Internacional de Pelotas	@SERPRO 
MPB (gênero musical)	@SERPRO 
Termo de abertura do projeto	@INPE_MCT 
Project charter	@INPE_MCT 
Umbanda	@Dataprev 
Nilma Lino Gomes	@CamaraDeputados 
Elon Musk	@SERPRO 
O Universo numa Casca de Noz	@CorreiosBR
Juan Román Riquelme	@MPF_PGR 
Juan Román Riquelme	#mpm 
Lista de episódios de Steven Universe	@TelebrasBR 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Serpente	@SERPRO 
Serpente	@SERPRO 
Donizeti Nogueira	@SenadoFederal 
Donizeti Nogueira	@SenadoFederal 
Horror films of Mexico	@TrabalhoGovBR 
Miguel Rossetto	@TrabalhoGovBR 
Miguel Rossetto	@TrabalhoGovBR 
Capitão (futebol)	@ComunicacoesBR 
Capitão (futebol)	@TelebrasBR 
Ryanair	@TelebrasBR 
Grenal	@ComunicacoesBR 
Grenal	@TelebrasBR 
Tecnologia da informação	@Caixa 
Doom 4	@SERPRO 
Brasília	@AgenciaPF 
Brasília	@AgenciaPF 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Fanáutico	@Caixa 
Sub way surfers	@Caixa 
Sub way surfers	@Caixa 
Sub way surfers	@Caixa 
Infecção cruzada	@MEC_Comunicacao 
Fluminense Football Club	@Dataprev 
Ayyavazhi simbolismo	@Caixa 
Tatuagem Antipossessão	@Caixa 
Lista de episódios de Steven Universe	@TelebrasBR 
Ford Ka	@Caixa 
Sistema de detecção de intrusos	@Dataprev 
Michael Schenker Group	@TrabalhoGovBR 
Lista de municípios do Pará	@TelebrasBR 
Anna Akhmátova	@Dataprev 
Anna Akhmátova	@Dataprev 
Alexandre Abreu	@BancodoBrasil 
Espaço confinado	@AgenciaPF 
Alexandre Abreu	@BancodoBrasil 
Estádio das Laranjeiras (Rio de Janeiro)	@Dataprev 
Gum	@Dataprev 
Darío Conca	@Dataprev 
Renato Gaúcho	@Dataprev 
Torcida do Fluminense Football Club	@Dataprev 
Fluminense Football Club (basquetebol masculino)	@Dataprev 
Recordes do Fluminense Football Club	@Dataprev 
Clássicos do Fluminense Football Club	@Dataprev 
Fundo para o Desenvolvimento Tecnológico das Telecomunicações	@SERPRO 
Dean Winchester	@SERPRO 
Maurício Godinho Delgado	@TST_Oficial 
Maurício Godinho Delgado	@TST_Oficial 
Maurício Godinho Delgado	@TST_Oficial 
Rachel Sheherazade	@SERPRO 
Fernando Francischini	@CamaraDeputados 
Fernando Francischini	@CamaraDeputados 
Magic!	@MPF_PGR 
Instituto Federal do Espírito Santo	@Caixa 
Instituto Federal do Espírito Santo	@Caixa 
Instituto Federal do Espírito Santo	@Caixa 
Instituto Federal do Espírito Santo	@Caixa 
Fornecedor	@TST_Oficial 
Encruzilhada do Sul	@ImprensaDPU 
Lista de episódios de Steven Universe	@TelebrasBR 
Marcelo Tavares BGS	@Caixa 
João Penca e Seus Miquinhos Amestrados	@SERPRO 
28 de outubro	@TelebrasBR 
Alizarina	@TelebrasBR 
Alizarina	@TelebrasBR 
Fiat Stilo	@Caixa 
Cúpula	@INPE_MCT 
Flexa Ribeiro	@SenadoFederal 
Fiat Uno	@Caixa 
Dívida histórica	@AgenciaPF 
Alexandre Schuindt	@Dataprev 
Alexandre Schuindt	@Dataprev 
Alexandre Schuindt	@Dataprev 
Ruy Barbosa	@Dataprev 
Seridó	@SERPRO 
Seridó	@SERPRO 
Crime de agressão	@PlanejamentoBR 
Crime de agressão	@SERPRO 
Lista de Cavaleiros de Athena	@ImprensaDPU 
Fada Morgana	@ImprensaDPU 
Artes marciais brasileiras	@STJNoticias 
Ami-jitsu	@STJNoticias 
Ami-jitsu	@STJNoticias 
Artes marciais brasileiras	@STJNoticias 
Artes marciais brasileiras	@STJNoticias 
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
Lei da Gravidade ou Gravitacional - Verdade ou Utopia?	@SERPRO 
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
DeRose	@AgenciaPF 
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
Death Cab for Cutie	@ImprensaDPU 
List of shopping centers in Brazil	@CNPq_Oficial 
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
Temporada do São Paulo Futebol Clube de 2015	@CorreiosBR
List of shopping centers in Brazil	@CNPq_Oficial 
List of shopping centers in Brazil	@CNPq_Oficial 
List of shopping centers in Brazil	@CNPq_Oficial 
Ivan Lins	@STF_Oficial 
Dolby Laboratories	@MPF_PGR 
Trans-Pacific Partnership	@ItamaratyGovBR 
Sheila Mello	@SERPRO 
Sheila Mello	@SERPRO 
Lydia Sayeg	@SERPRO 
Sheila Mello	@SERPRO 
Nadja Haddad	@SERPRO 
Adriane Galisteu	@SERPRO 
Lívia Andrade	@SERPRO 
Lívia Andrade	@SERPRO 
Ibipetum	@CorreiosBR
Ibipetum	@CorreiosBR
Brutal death metal	@MinSaude 
Marco Maia	@CamaraDeputados 
Javé	@Caixa 
Ouro Preto	@Caixa 
Ada Chaseliov	@MPF_PGR 
Adriane Galisteu	@SERPRO 
Patrícia Salvador	@SERPRO 
Nadja Haddad	@SERPRO 
Silvia Abravanel	@SERPRO 
Adriane Galisteu	@SERPRO 
Helen Ganzarolli	@SERPRO 
Grazi Massafera	@SERPRO 
Andréa de Nóbrega	@SERPRO 
Sheila Mello	@SERPRO 
Eliana (apresentadora)	@SERPRO 
Eliana (apresentadora)	@SERPRO 
Duerme negrito	@Caixa 
Duerme negrito	@Caixa 
Obesidade	@Caixa 
Captação de recursos	@AgenciaPF 
List of shopping centers in Brazil	@CNPq_Oficial 
List of shopping centers in Brazil	@CNPq_Oficial 
Rose Madder	@TrabalhoGovBR 
Partido Novo	@MPF_PGR 
Ministério da Previdência Social	@Dataprev 
Barão de Cocais	@Caixa 
Culinária da Índia	@TelebrasBR 
Culinária da Índia	@TelebrasBR 
Estelionato	@MPF_PGR 
24 de outubro	@Caixa 
2015 World Surf League	@Caixa 
2015 World Surf League	@Caixa 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Evangelho segundo Marcos	@TelebrasBR 
Evangelho segundo Marcos	@TelebrasBR 
Lista de episódios pilotos	@TelebrasBR 
Aborto no Brasil	@MinSaude 
Toaru Majutsu no Index	@SERPRO 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Campeonato Brasileiro de Futebol de 2013 - Série A	@Dataprev 
Comando Militar do Oeste	@TelebrasBR 
Comando Militar do Nordeste	@TelebrasBR 
Comando Militar do Sul	@TelebrasBR 
Rocinante	@STJNoticias 
Lista de episódios de Steven Universe	@TelebrasBR 
Edinho Silva	@AgoraNoPlanalto
Reconhecimento de fala	@ImprensaBNB 
Rachel Sheherazade	@MPF_PGR 
Bruna Lombardi	@SERPRO 
Instituto de Pesquisa Econômica Aplicada	@IpeaOnline 
Saudi Aramco	@SERPRO 
Adolphe Sax	@Caixa 
Feminazi	@TSEJusBR 
Feminazi	@TSEJusBR 
Feminazi	@TSEJusBR 
Boogarins	@SERPRO 
Feminazi	@TSEJusBR 
Feminazi	@TSEJusBR 
Feminazi	@TSEJusBR 
Feminazi	@TSEJusBR 
Feminazi	@TSEJusBR 
Feminazi	@TSEJusBR 
TV Em Tempo	@TelebrasBR 
Rede de telefonia celular	@SERPRO 
Carlos Zarattini	@CamaraDeputados 
Victor Hugo	@SERPRO 
Eu nunca	@CorreiosBR
Intuição	@TelebrasBR 
Jimmy Wales	@MPF_PGR 
Jimmy Wales	#mpm 
Seis Sigma	@SERPRO 
Basebol	@CNPq_Oficial 
Basebol	@CNPq_Oficial 
Mamãe Eu Quero	@SenadoFederal 
Sandra Moreyra	@AgenciaPF 
Leishmaniose visceral	@SERPRO 
UFC 194	@TST_Oficial 
Miesha Tate	@TST_Oficial 
Victor Hugo	@SERPRO 
Victor Hugo	@SERPRO 
Juan Martín	@Caixa 
Guerra dos Farrapos	@SERPRO 
